
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2015-1024-153427-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1024-174304-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1025-131139-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	25/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1026-154241-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	347.1 KB	348.0 KB	26/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1026-180021-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	26/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1026-202418-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.2 KB	4.0 KB	26/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1026-223429-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	26/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-004633-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-031058-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-051851-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-072621-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-093352-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.1 KB	4.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1027-114123-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	389.2 KB	392.0 KB	27/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1029-203352-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	10.5 KB	12.0 KB	29/10/2015	04/11/2015	.log (Notepad++ Document)	Administrators
2015-1106-164634-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	96.9 KB	100.0 KB	06/11/2015	06/11/2015	.log (Notepad++ Document)	Administrators
2015-1107-021957-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	17.2 KB	20.0 KB	07/11/2015	07/11/2015	.log (Notepad++ Document)	Administrators
2015-1107-142724-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.9 KB	4.0 KB	07/11/2015	07/11/2015	.log (Notepad++ Document)	Administrators
2015-1118-024530-ASUS-BIGGER-C - C ASUS EEE.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	47.8 KB	48.0 KB	18/11/2015	18/11/2015	.log (Notepad++ Document)	Administrators
